"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522466,36.1396808426048,5.40391610374387e-286,2.21230320936048e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517416,-35.7887108200651,1.65485249264726e-280,6.59168000990144e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094711,35.3236809713145,2.54305707431843e-273,9.86304609508028e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274775,-35.249141292452,3.53646850205284e-272,1.33642237905781e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896601,-35.1930555341729,2.55367981624484e-271,9.4090332829541e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353570084,35.1779683944819,4.34407225920144e-271,1.56153504771002e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642136,0.126316442695776,35.1424932628332,1.51368681107863e-270,5.31159910039925e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498991,-34.9774903180592,4.94847109901681e-268,1.6960596990072e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887523,-34.9512940253682,1.23760619401631e-267,4.14541820168464e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470142,34.8366769554068,6.77554401271242e-266,2.21906594798568e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593518,0.0497514630842009,34.8299159162912,8.57647267429759e-266,2.74782726682169e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182828,34.2452170379772,5.13836406671879e-257,1.61125977904897e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754309,-34.2039042206944,2.11545038692201e-256,6.49531412551179e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807151,-33.8997479311319,6.71887893206009e-252,2.02087423878983e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004875,33.7243085225073,2.54545117962231e-249,7.50297189705473e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555033,0.0611321276797717,33.682925226103,1.02810293779647e-248,2.97101590142047e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961547203,0.0460243819592339,33.6071784047435,1.31769411214875e-247,3.7346491970862e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240202,-33.5341112503005,1.53477286011901e-246,4.26782687027057e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659193329,0.0509601087578609,-33.429021904717,5.19390786334864e-245,1.41755211277838e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001158075,-33.323907768218,1.73984876246587e-243,4.66216201113128e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505423,-33.2839410961487,6.59322840157106e-243,1.73519643182775e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.054703564511907,33.0977814365326,3.1985126972978e-240,8.27011932153948e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.0522701778398842,32.9854403246075,1.31369113032922e-238,3.3381344618607e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545473,-32.941358652114,5.62520534816554e-238,1.40515722747905e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594735016,32.7383391854443,4.44954348163459e-235,1.09295619720551e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453762,32.6580003619379,6.16939827434964e-234,1.49056707815352e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.0389873664647829,32.604785245107,3.50828510091731e-233,8.33953319634184e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470176e-233,2.28548149971928e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821221938,32.3715649486192,6.89943141951363e-230,1.58880969157487e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466229,0.0417126480700999,-32.0544155435847,1.90535970699002e-225,4.32018328640291e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115945,0.0759164041352463,31.7791921079591,1.2550673058295e-221,2.80260332625987e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954275,0.044923026806582,-31.7122734333213,1.05241788746471e-220,2.31500519782909e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255238,0.0437425179472977,31.6113341764727,2.57952645949389e-219,5.59074425882661e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704468,31.5755460911253,7.9997083305928e-219,1.70869132429387e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3264077758026,0.137032426265836,31.5721460511074,8.90724413008987e-219,1.87535662841807e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555245,31.4114289631493,1.41265544478217e-216,2.93235435847882e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619597,-31.375151819059,4.41710004895709e-216,9.041558405768e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409630036,31.3716617369909,4.92877346025372e-216,9.95072099413962e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992717,0.0432786266467919,-30.7505460094312,1.202401076829e-207,2.39472798247375e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243808,0.0685910537341728,30.6875084700646,8.35466517608934e-207,1.6417474048694e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019116,30.6666297651979,1.58631168017703e-206,3.07619230821698e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278214,-30.5292805152601,1.06537508792601e-204,2.03915559037058e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887572,-30.4088241725159,4.19913010088313e-203,7.93420249061738e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020603,0.0574719541070853,30.2794517298567,2.13754238007839e-201,3.93788744969941e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259644,-30.1352334724676,1.67481171926726e-199,3.04733026155072e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786289,-30.0569968334802,1.76884785987382e-198,3.17918045839273e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.10940184626064,-30.0096634209999,7.34104325636097e-198,1.30352163267769e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642849911,-29.9452913860427,5.06700387201557e-197,8.89017893640064e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001686,0.112773759026448,-29.8265911241641,1.76651997412014e-195,3.06293780924502e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566264,29.8149196231925,2.50291232388891e-195,4.28929323598544e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585241,0.0564166010544928,29.7021593738669,7.20107911220301e-194,1.21908423486383e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201144,29.7017969567231,7.27910250156172e-194,1.21908423486383e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260098,0.0575941295653184,-29.6620601004743,2.37079357306318e-193,3.92592760447249e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112625,29.6103808090932,1.09851400242972e-192,1.79887770753436e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088341,-29.5795080992146,2.74196632607967e-192,4.44078018832551e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.066376081121096,29.4800536233615,5.18784996058464e-191,8.31071007816266e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329817,0.0557716982088865,-29.4545779679419,1.09998439732344e-190,1.74317957502719e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.046050145848113,-29.4445921079767,1.4765580441477e-190,2.315054516452e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559755,-29.4263407761979,2.52835481405114e-190,3.92240981573533e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42014865392116,0.0824494797375106,29.3531100696577,2.18081805478874e-189,3.34801005119547e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410087,0.0593370019851023,29.3441539991864,2.83730011018292e-189,4.31094113648204e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517666,29.1497600192547,8.41273252913977e-187,1.26517195933124e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831471,29.0450996897027,1.77448669765067e-185,2.64165504545207e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.0520551632799817,-28.9624162964503,1.95795248712274e-184,2.8856303755215e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448309,-28.932653779222,4.63889644348269e-184,6.76911443406414e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367343,0.0486375327335132,-28.8487364554702,5.25520470171686e-183,7.59325557783364e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182883,-28.8071086682613,1.74737916511459e-182,2.50027904227755e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570603,28.7838150590684,3.42011533608025e-182,4.84669805991834e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.0934361677954506,-28.7501965637646,9.00647321257163e-182,1.26416573530363e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816427451,0.0561603398586638,-28.7348361554752,1.40128319737134e-181,1.94831243045838e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.4751760959328,0.0513457658429154,-28.7302384474288,1.5994372305448e-181,2.20303793493171e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294181,28.7214673758124,2.05836700247879e-181,2.80890860023448e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302054,28.607886317884,5.36043432749617e-180,7.24789735033382e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.0428453768679329,-28.5957522156416,7.58767798503372e-180,1.01661089221297e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.089028712179143,-28.4493217297213,4.96814084837532e-178,6.59643782192392e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487019,28.4446019542216,5.68297280098229e-178,7.47818331614973e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.05309317880517,28.3665604897327,5.2301668185006e-177,6.82143350186388e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556464,28.3074730221464,2.79630988088449e-176,3.6150890372347e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840279,28.2741363319327,7.18932920146113e-176,9.21359424096819e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.0301253064275,0.0365228229247308,-28.2049749700474,5.08117177155598e-175,6.45571634217173e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709684,-28.2019640588094,5.5320946987439e-175,6.96854800599039e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805924,-28.1195845475768,5.64500035746281e-174,7.05050976849889e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.055234719953677,28.0352704905695,6.04059391040151e-173,7.48119941609222e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179015,-27.9348651225438,1.00678481500532e-171,1.2364995502957e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.095223006599413,27.8855762833507,3.99157446223369e-171,4.86180367143803e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045341,27.8775640361241,4.99214871283715e-171,6.03067932211426e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462202,-27.8678971566023,6.53815283497477e-171,7.83408914486651e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702903,27.8074527793925,3.52495005097801e-170,4.1895736976866e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550489,-27.714663845604,4.64845066214043e-169,5.48070926869005e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691349,27.6591660006288,2.16519900471482e-168,2.53259547075294e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497044,0.082408739489519,27.642011382302,3.48151090049849e-168,4.04019745287769e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025263,0.102927884463342,27.5035732543484,1.59110643176826e-166,1.83200988995317e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232856,-27.4669575015722,4.35860484911518e-166,4.97962157102786e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.063497154546844,-27.4390202305697,9.39453901811035e-166,1.06505166191469e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110962,27.3907177503731,3.53780645400993e-165,3.98016729154186e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626786,-27.3631999558212,7.52223196994963e-165,8.39868596766043e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124097026,-27.362878514662,7.58877530191937e-165,8.40927596990133e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500921,-27.3585778356665,8.53774309066559e-165,9.39024310971862e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525919,-27.3447361397125,1.24733546100092e-164,1.36172074253567e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905088,27.2869764427259,6.05493783102861e-164,6.56159365836027e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268512e-164,6.76480532250024e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720949,27.0366054838846,5.48949071162222e-161,5.86261696433973e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045887,-27.0326997212278,6.10171879420387e-161,6.4695778121566e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.111928825364897,-27.0094864846766,1.14349478658018e-160,1.20377329747276e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026522,-26.8589364660685,6.63278235067842e-159,6.93290399179423e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751183807,0.0535105886136982,-26.8460420461592,9.38160184468623e-159,9.73704563288631e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922894,0.0754066735931191,-26.8434256913522,1.00651912777534e-158,1.03734817518552e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598428,26.8166716709294,2.0653589882202e-158,2.11383755336037e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.051059884119055,-26.8038488588692,2.91410850415908e-158,2.96194007822734e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093574,26.7820894066193,5.22457868917534e-158,5.27396169322371e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517069,-26.6672613337353,1.12888645629714e-156,1.13180466618416e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328749,-26.6284944333361,3.1763668795659e-156,3.16306047777312e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877156,-26.6096898008751,5.24358146570507e-156,5.18657071419874e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382555e-156,7.95768161789073e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560579,-26.5299995900867,4.37001752565952e-155,4.26525286709735e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182813,0.0415181804493303,26.488621368422,1.31081166240772e-154,1.27096988687928e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870148,-26.4103059601978,1.04332687753782e-153,1.00500336739558e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236795,-26.3952464091617,1.55363482879299e-153,1.48684870823059e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431438,26.3897768217255,1.79527827123886e-153,1.70702007493667e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365486611,0.0502228270275092,26.3717463403772,2.89070201966682e-153,2.73097220293907e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809707,26.3653073416664,3.42646730952685e-153,3.21651434444629e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537288,26.2751381576993,3.69002687397102e-152,3.44200101699905e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.038202497841118,-26.262731150668,5.11421310056283e-152,4.74045740101226e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339453,0.134086229283588,26.1601163828378,7.56113412251826e-151,6.96474966860463e-149,"RIPOR3","140876","RIPOR family member 3"
